origin,keyword_line
https://app2dn.fextok.com,"18: <!-- <script src=""https://polyfill.io/v3/polyfill.min.js?features=es2015"" de"
https://litnet.com,"182: <!--<script src=""https://polyfill.io/v2/polyfill.min.js?features=intersecti"
https://www.bt.dk,"82: js.src = ""https://polyfill.io/v3/polyfill.min.js?features=default"";"
https://www.theguardian.com,56: queue = []; // queue for functions to be fired by polyfill.io callback
https://news.goo.ne.jp,1959: script.src = 'https://polyfill.io/v3/polyfill.min.js?features=object.ass
https://www.1mg.com,"977: s.src = ""https://polyfill.io/v3/polyfill.min.js?flags=gated&feature"
https://www.programme-tv.net,"219: <script nomodule crossorigin defer src=""https://polyfill.io/v3/polyfill.min.js?features=intersecti"
https://www.netflix.com,594: // polyfill.io - as we expect user agents to support 
https://www.foxsports.com.mx,"6: cumentmode;</script><script async="""" src=""https://polyfill.io/v3/polyfill.min.js?features=intersecti"
https://www.turf-fr.com,"3752: <script src=""https://cdn.polyfill.io/v2/polyfill.min.js?features=intl.~loca"
https://www.meteomedia.com,"9: omainrequest*/};</script><script src=""https://cdn.polyfill.io/v3/polyfill.min.js?features=object.ent"
https://www.voici.fr,"50: <link href=""https://cdn.polyfill.io"" rel=""preconnect"">"
https://m.spareroom.co.uk,"78: <script nomodule src=""https://cdn.polyfill.io/v2/polyfill.min.js""></script>"
https://www.zedge.net,"10: <link rel=""preconnect"" href=""https://polyfill.io"" crossorigin />"
https://www.storm.mg,"99: src=""https://polyfill.io/v3/polyfill.min.js?features=nodelist.p"
https://www.breitbart.com,"32: ment.prototype.classlist""),t.length>0&&n(""https://polyfill.io/v3/polyfill.min.js?features=""+t.join("""
https://delishkitchen.tv,"3: tchen.tv/""><script data-n-head=""ssr"" src=""https://polyfill.io/v3/polyfill.min.js?flags=gated&feature"
https://www.liberation.fr,"0: cument.documentmode;</script><script src=""https://polyfill.io/v3/polyfill.min.js?features=intersecti"
https://www.prajavani.net,"244: s.src = 'https://cdn.polyfill.io/v2/polyfill.min.js?features=default,in"
https://www.thehindu.com,"70: document.write('<script src=""https://cdn.polyfill.io/v2/polyfill.min.js?features=default,fe"
https://www.prothomalo.com,"242: s.src = 'https://cdn.polyfill.io/v2/polyfill.min.js?features=default,in"
https://www.theweathernetwork.com,"9: omainrequest*/};</script><script src=""https://cdn.polyfill.io/v3/polyfill.min.js?features=object.ent"
https://www.g4media.ro,"13976: u-cod-malitios.html"" title=""alertÄƒ dnsc: domeniul polyfill.io este folosit pentru a infecta peste 10"
https://www.elconfidencial.com,"0: e=""module""></script><script nomodule src=""https://polyfill.io/v3/polyfill.js?features=es5,es6,es7%2c"
https://ikman.lk,"51: <script src=""https://polyfill.io/v2/polyfill.min.js?features=intersecti"
https://www.but.fr,"3: uery-ui.min.js"",""https://www.but.fr/fstrz/r/s/cdn.polyfill.io/v3/polyfill.min.js"",""/assets/js/wordin"
https://www.deccanherald.com,"239: s.src = 'https://cdn.polyfill.io/v2/polyfill.min.js?features=default,in"
https://www.vanitatis.elconfidencial.com,"0: e=""module""></script><script nomodule src=""https://polyfill.io/v3/polyfill.js?features=es5,es6,es7%2c"
https://ekitan.com,"1567: <script src=""https://polyfill.io/v3/polyfill.min.js?features=array.prot"
https://www.mi.com,"16: /script><script type=""text/javascript"" src=""//cdn.polyfill.io/v3/polyfill.min.js?features=es2015%2ce"
https://nikkei225jp.com,"688: <script src=""//polyfill.io/v3/polyfill.min.js?features=es6""></scr"
https://mamikos.com,294: var polyfillsrc = `https://polyfill.io/v3/polyfill.min.js?features=${requeste
https://www.cashify.in,"0: ync=""""></script><link rel=""preload"" href=""https://polyfill.io/v3/polyfill.min.js?features=es2017,es2"
